Parameter,Cal,ReCal,Difference
PulseLength,0.000512,0.000512,0.000000
Frequency,333000.00,333000.00,0.00
Gain,26.70,26.74,-0.04
SaCorrection,0.0503,-0.0246,0.0749
BeamWidthAlongship,7.29,7.35,-0.06
BeamWidthAthwartship,7.09,7.26,-0.17
AngleOffsetAlongship,0.01,0.05,-0.04
AngleOffsetAthwartship,-0.23,0.05,-0.28
TsRmsError,0.1486,0.0746,0.0740
Impedance,75.00,75.00,0.00
Phase,0.00,0.00,0.00
